connector,payment_method,payment_method_type,feature,description,hs_endpoint,cypress_test_status
bankofamerica,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
bankofamerica,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
bankofamerica,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
bankofamerica,Wallet,SamsungPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
barclaycard,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
barclaycard,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
barclaycard,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
barclaycard,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
billwerk,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
billwerk,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
bitpay,Crypto,CryptoCurrency,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
blackhawknetwork,GiftCard,BhnCardNetwork,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
bluesnap,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
bluesnap,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
bluesnap,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
boku,Wallet,Dana,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
boku,Wallet,Gcash,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
boku,Wallet,GoPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
boku,Wallet,KakaoPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
boku,Wallet,Momo,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
braintree,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
braintree,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
braintree,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
braintree,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
braintree,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
braintree,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
braintree,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
braintree,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
breadpay,PayLater,Breadpay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
calida,Wallet,Bluecode,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
cashtocode,Reward,ClassicReward,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
cashtocode,Reward,Evoucher,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
celero,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
celero,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
checkbook,BankTransfer,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
checkout,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
checkout,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
checkout,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
checkout,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
checkout,NetworkToken,NetworkToken,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
checkout,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
checkout,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
coinbase,Crypto,CryptoCurrency,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
coingate,Crypto,CryptoCurrency,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
cryptopay,Crypto,CryptoCurrency,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
cybersource,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
cybersource,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
cybersource,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
cybersource,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
cybersource,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
cybersource,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
cybersource,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
cybersource,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
cybersource,Wallet,Paze,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
cybersource,Wallet,Paze,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
cybersource,Wallet,SamsungPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
cybersource,Wallet,SamsungPay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
datatrans,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
datatrans,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
datatrans,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
datatrans,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
deutschebank,BankDebit,Sepa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
deutschebank,BankDebit,Sepa,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
deutschebank,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
deutschebank,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
digitalvirgo,MobilePayment,DirectCarrierBilling,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
dlocal,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
dlocal,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
dlocal,Voucher,Oxxo,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
dwolla,BankDebit,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
elavon,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
elavon,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
elavon,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
elavon,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
facilitapay,BankTransfer,Pix,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
finix,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
finix,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
finix,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
finix,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
finix,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
finix,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
finix,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
finix,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
fiserv,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
fiserv,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
fiserv,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
fiserv,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
fiserv,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
fiservcommercehub,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
fiservcommercehub,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
fiservemea,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
fiservemea,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
fiuu,BankRedirect,OnlineBankingFpx,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
fiuu,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
fiuu,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
fiuu,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
fiuu,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
fiuu,RealTimePayment,DuitNow,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
fiuu,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
fiuu,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
flexiti,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
forte,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
forte,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
getnet,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
