feature,description,hs_endpoint,source,cypress_test_status,notes
Product Type,Merchant product type (Payments/Payouts),POST /merchant_account (product_type),merchant_account.rs:product_type,covered,Cypress spec 00003-ProductType in Misc/ (PR #12029)
Merchant Category Code,Merchant category code (MCC),POST /business_profile (merchant_category_code),business_profile.rs:merchant_category_code,covered,
Merchant Country Code,Numeric merchant country code,POST /business_profile (merchant_country_code),business_profile.rs:merchant_country_code,covered,
Dispute Polling Interval,Polling interval for dispute sync,POST /business_profile (dispute_polling_interval),business_profile.rs:dispute_polling_interval,not_covered,
Routing Result Source,Which routing engine to use,POST /payments (read during routing selection),configs table:routing_result_source,covered,
Poll Config,Payment status polling configuration,GET /payments/{id} (read during redirect payment polling),configs table:poll_config,covered,
Forex/Currency Conversion,Currency conversion for payments,GET /forex/rates,settings.rs:forex_api,not_covered,
Relay Operations,Relay API for direct connector operations,POST /relay (capture/refund/void/incremental_auth),api_models/relay.rs,covered,
Subscription Management,Subscription CRUD and lifecycle management,POST/GET/PUT /subscriptions,api_models/subscription.rs,not_covered,
Dispute Management,Dispute accept/defend/submit evidence,POST /disputes/{id}/accept + POST /disputes/{id}/evidence,api_models/disputes.rs,covered,
FRM (Fraud Risk Management),Fraud check flows,POST /payments (internal FRM check),merchant_connector_account.rs:frm_configs,not_covered,
Network Tokenization Credentials,Credentials for network tokenization,POST /business_profile (network_tokenization_credentials),business_profile.rs:network_tokenization_credentials,not_covered,
OIDC Authentication,OpenID Connect authentication for users,POST /oidc/token,api_models/oidc.rs,covered,
Card Issuer Management,Card issuer CRUD operations,POST/GET/PUT /card_issuers,api_models/card_issuer.rs,covered,
Payment Method Operations,Payment method CRUD and listing,GET /payment_methods + POST /payment_methods,api_models/payment_methods.rs,covered,Cypress spec 24-PaymentMethods
Organization Management,Organization CRUD operations,POST/GET/PUT /organization,api_models/organization.rs,covered,Cypress spec 00-CoreFlows
Merchant Account Management,Merchant account CRUD operations,POST/GET/PUT /accounts,api_models/admin.rs,covered,Cypress spec 00-CoreFlows 01-AccountCreate
Business Profile Management,Business profile CRUD operations,POST/GET/PUT /business_profile,api_models/admin.rs,covered,Cypress spec 28-BusinessProfileConfigs
MCA Management,Merchant connector account CRUD operations,POST/GET/PUT /account/{id}/connectors,api_models/admin.rs,covered,Cypress spec 03-ConnectorCreate
Browser Info Collection,Browser information for 3DS and fraud detection,POST /payments (browser_info in body),router_request_types.rs:browser_info,covered,Sent in all 3DS payment tests
Order Details,Order line item details,POST /payments (order_details in body),api_models/payments.rs:order_details,covered,
Customer Acceptance,Customer acceptance for mandates/T&C,POST /payments (customer_acceptance in body),api_models/payments.rs:customer_acceptance,covered,Tested in all mandate flows
Off Session Payments,Off-session (merchant-initiated) payment indicator,POST /payments (off_session=true),api_models/payments.rs:off_session,covered,Tested in MIT mandate flows
Feature Metadata,Generic feature metadata on payments,POST /payments (feature_metadata in body),api_models/payments.rs:feature_metadata,covered,
Connector Metadata,Connector-specific metadata from merchant,POST /payments (connector_metadata in body),api_models/payments.rs:connector_metadata,covered,
Multiple Capture,Multiple partial captures on a single authorization,POST /payments/{id}/capture (multiple times),router_request_types.rs:multiple_capture_data,not_covered,
Payout Type,Type of payout (card/bank/wallet),POST /payouts (payout_type in body),api_models/payouts.rs:payout_type,covered,Cypress payout specs
Payout Priority,Payout send priority,POST /payouts (priority in body),api_models/payouts.rs:priority,not_covered,
Payout Auto Fulfill,Auto-fulfill payout without review,POST /payouts (auto_fulfill=true),api_models/payouts.rs:auto_fulfill,covered,Cypress payout spec 00003
Payout Entity Type,Payout entity type classification,POST /payouts (entity_type in body),api_models/payouts.rs:entity_type,not_covered,
Payout Recurring,Recurring payout indicator,POST /payouts (recurring in body),api_models/payouts.rs:recurring,not_covered,
Refund Type,Refund type (instant/scheduled),POST /refunds (refund_type in body),api_models/refunds.rs:refund_type,not_covered,
Mandate Management,Mandate CRUD and revocation,GET /mandates/{id} + POST /mandates/{id}/revoke,api_models/mandates.rs,covered,Cypress spec 13-ListAndRevokeMandate
Payment Manual Update,Manual payment status update by admin,PUT /payments/{id}/manual-update,api_models/payments.rs,not_covered,
Refund Manual Update,Manual refund status update by admin,PUT /refunds/{id}/manual-update,api_models/refunds.rs,not_covered,
Credentials Identifier Mapping,MCA credentials identifier mapping,POST /payments (read during MCA credential lookup),configs table:mcd_{merchant_id},not_covered,
Routing Evaluate,Evaluate routing rules without creating payment,POST /routing/evaluate,api_models/routing.rs,covered,
SDK Client Token Generation,Generate SDK session/client tokens for frontend,POST /payments/session_tokens,hyperswitch_interfaces/api.rs,not_covered,Cypress spec 26-SessionCall
Gateway Status Map (GSM),Map connector error codes to retry actions,POST /payments (read during auto-retry flow),configs table:should_call_gsm,covered,
Vault Tokenization Disable,Disable vault tokenization for modular auth,POST /payments (read during UAS modular auth flow),configs table:should_disable_vault_tokenization,not_covered,
Delayed Session Response,Delayed session response handling,POST /payments/session_tokens (internal delay),settings.rs:delayed_session_response,not_covered,
Connector API Version Override,Override API version for a connector,POST /payments (read when building connector request),configs table:connector_api_version,not_covered,
Acquirer Config Map,Acquirer-specific configurations,POST /business_profile (acquirer_config_map),business_profile.rs:acquirer_config_map,not_covered,
Payout Tracker Mapping,Retry schedule mapping for payouts,superposition config,superposition:payout_tracker_mapping,not_covered,
Connector Onboarding Config,Connector-specific onboarding configuration,POST /account/{merchant_id}/connectors (read during connector onboarding),configs table:onboarding_{connector},not_covered,
Dynamic Fields,SDK dynamic fields configuration,GET /payment_methods (dynamic_fields),superposition:dynamic_fields,covered,Cypress spec 43-DynamicFields
Save Card Flow,Save card on-session and off-session,POST /payments (setup_future_usage=on/off_session),api_models/payments.rs:setup_future_usage,covered,Cypress spec 14-SaveCardFlow
Payment Sync,Sync payment status with connector,GET /payments/{id} (force_sync=true),api_models/payments.rs,covered,Cypress spec 08-SyncPayment
Void/Cancel Payment,Cancel/void an authorized payment,POST /payments/{id}/cancel,api_models/payments.rs,covered,Cypress spec 07-VoidPayment
Health Check,System health check endpoint,GET /health,misc,covered,Cypress spec Misc/00000-HealthCheck
