connector,feature,description,hs_endpoint,cypress_test_status,prod_used,latest_prod_timestamp,Assignee,Coverage Status
cybersource,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,covered,no,,Venkata Karthik,
paypal,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,covered,no,,Venkata Karthik,
stripe,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,covered,no,,Venkata Karthik,
wellsfargo,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,not_covered,no,,Venkata Karthik,
adyen,Installments,Split the payment into fixed monthly installments at the connector level,POST /payments (installment_data in body),covered,unknown,,Likhin,
checkout,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),not_covered,unknown,,Vasanth,
nuvei,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),not_covered,unknown,,Vasanth,
worldpayvantiv,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),not_covered,unknown,,Vasanth,
adyen,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
archipel,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
bankofamerica,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,,Likhin,
barclaycard,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
bluesnap,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
checkout,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
cybersource,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
fiuu,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,,Likhin,
novalnet,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,,Likhin,
nuvei,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
stripe,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
unified_authentication_service,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),no_cypress_config,unknown,,Likhin,
wellsfargo,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,,Likhin,
worldpay,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
worldpayvantiv,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,,Likhin,
airwallex,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),not_covered,no,,Venkata Karthik,
nordea,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),no_cypress_config,no,,Venkata Karthik,
payme,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),no_cypress_config,no,,Venkata Karthik,Sandbox creds is not there
razorpay,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),no_cypress_config,no,,Venkata Karthik,
trustpay,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),not_covered,yes,2026-04-21 1:02:12,Venkata Karthik,
adyen,Overcapture,Capture more than the originally authorized amount (overcapture / over-capture),POST /payments/{id}/capture (amount > authorized),covered,no,,Sairaj,
stripe,Overcapture,Capture more than the originally authorized amount (overcapture / over-capture),POST /payments/{id}/capture (amount > authorized),not_covered,no,,Sairaj,
checkout,Partial Authorization,Allow connector to partially approve a payment when the full amount is unavailable (partial approval),POST /payments (enable_partial_authorization=true),not_covered,unknown,,Sundari,
nuvei,Partial Authorization,Allow connector to partially approve a payment when the full amount is unavailable (partial approval),POST /payments (enable_partial_authorization=true),not_covered,unknown,,Sundari,
worldpayvantiv,Partial Authorization,Allow connector to partially approve a payment when the full amount is unavailable (partial approval),POST /payments (enable_partial_authorization=true),not_covered,unknown,,Sundari,
adyen,Partner Merchant Identifier,Identify the platform/marketplace and sub-merchant in the connector request (e.g. Adyen ApplicationInfo),POST /payments (partner_merchant_identifier_details in body),covered,unknown,,Likhin,Covered
checkout,Partner Merchant Identifier,Identify the platform/marketplace and sub-merchant in the connector request (e.g. Adyen ApplicationInfo),POST /payments (partner_merchant_identifier_details in body),covered,unknown,,Likhin,Covered
barclaycard,Post-Authentication Flow,Complete authorization after 3DS challenge result is received and verified,POST /payments/{id}/complete_authorize,not_covered,no,,Preetam,
cybersource,Post-Authentication Flow,Complete authorization after 3DS challenge result is received and verified,POST /payments/{id}/complete_authorize,not_covered,no,,Preetam,
nexixpay,Post-Authentication Flow,Complete authorization after 3DS challenge result is received and verified,POST /payments/{id}/complete_authorize,not_covered,yes,2026-04-20 16:53:55,Preetam,
paypal,Post-Authentication Flow,Complete authorization after 3DS challenge result is received and verified,POST /payments/{id}/complete_authorize,not_covered,yes,2026-04-20 21:57:42,Preetam,
barclaycard,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,,Sundari,
cybersource,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,,Sundari,
nexixpay,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,,Sundari,
nmi,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,,Sundari,
nuvei,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,,Sundari,
redsys,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,,Sundari,
shift4,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,,Sundari,
worldpayxml,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,,Sundari,
santander,Push Notification Flow,Handle bank-initiated push notification to trigger a new mandate charge cycle (e.g. PIX Automático),POST /payments (internal mandate push notification),no_cypress_config,no,,Vasanth,
santander,QR Code Generation Flow,"Generate a scannable QR code for the payment (e.g. PIX, WeChat Pay, GrabPay)",POST /payments (internal QR code generation),no_cypress_config,no,,Vasanth,
aci,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
adyen,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-21 1:36:11,,
affirm,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Venkata Karthik,
airwallex,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
amazonpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Venkata Karthik,
archipel,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
authipay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
authorizedotnet,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 19:45:30,,
bambora,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
bamboraapac,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
bankofamerica,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
barclaycard,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
billwerk,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
bitpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Venkata Karthik,
bluesnap,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
boku,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Venkata Karthik,
braintree,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
breadpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Venkata Karthik,
celero,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
checkout,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
coingate,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Vasanth,
cybersource,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 15:16:44,,
datatrans,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
deutschebank,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
digitalvirgo,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Vasanth,
dlocal,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
dwolla,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Vasanth,
elavon,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
facilitapay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,,Vasanth,
finix,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-18 19:43:27,,
fiserv,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
fiservcommercehub,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Vasanth,
fiservemea,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
fiuu,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-19 9:10:27,,
forte,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
getnet,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
gigadat,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,,Vasanth,
globalpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
globepay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sairaj,
gocardless,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sairaj,
helcim,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sairaj,
hipay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
hyperpg,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sairaj,
iatapay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
imerchantsolutions,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,,
inespay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sairaj,
itaubank,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,,Likhin,Not possible
jpmorgan,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
klarna,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Likhin,
loonio,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,,Likhin,Not possible
mollie,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
moneris,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
multisafepay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
nexinets,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
nexixpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-03-02 7:48:10,,
nmi,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 17:12:33,,
noon,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-21 0:25:18,,
novalnet,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 21:01:29,,
nuvei,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
paybox,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
payeezy,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Likhin,
payjustnow,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Likhin,
payjustnowinstore,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Likhin,
payload,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
payme,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sundari,Creds not available
paypal,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 12:20:22,,
paysafe,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
paystack,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sundari,
payu,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
peachpayments,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-08 10:11:19,,
placetopay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sundari,
powertranz,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
prophetpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sundari,
rapyd,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sundari,
razorpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Preetam,
redsys,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
revolv3,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Preetam,UCS only connector
santander,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Vasanth,
shift4,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
silverflow,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
square,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
stax,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
stripe,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-21 1:32:04,,
tesouro,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
truelayer,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Vasanth,
trustly,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Vasanth,
trustpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 10:14:11,,
trustpayments,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
tsys,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
volt,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,,Sairaj,
wellsfargo,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
worldline,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sairaj,
worldpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-06 5:02:32,,
worldpaymodular,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sairaj,
worldpayvantiv,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
worldpayxml,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-03-23 6:31:48,,
xendit,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
zen,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,,Sairaj,
zift,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,,,
xendit,Settlement Split Call,Split settlement amounts across sub-merchants or accounts after authorization,POST /payments (internal post-auth settlement split),not_covered,no,,Sundari,
adyen,Split Payments,Split a single payment across multiple accounts or sub-merchant recipients,POST /payments (split_payments in body),not_covered,unknown,,Sundari,
stripe,Split Payments,Split a single payment across multiple accounts or sub-merchant recipients,POST /payments (split_payments in body),covered,unknown,,Sundari,Covered
xendit,Split Payments,Split a single payment across multiple accounts or sub-merchant recipients,POST /payments (split_payments in body),not_covered,unknown,,Sundari,
adyen,Split Refunds,Refund a split payment proportionally across the original split recipients,POST /refunds (split_refunds in body),not_covered,yes,2026-04-21 1:36:11,Sundari,
stripe,Split Refunds,Refund a split payment proportionally across the original split recipients,POST /refunds (split_refunds in body),covered,yes,2026-04-20 17:12:49,Sundari,Covered
xendit,Split Refunds,Refund a split payment proportionally across the original split recipients,POST /refunds (split_refunds in body),not_covered,no,,Sundari,
barclaycard,Step Up Authentication,Trigger a 3DS step-up challenge when a prior frictionless flow is deemed insufficient by the issuer,POST /payments (internal 3DS2 step-up redirect),not_covered,no,,Preetam,
cybersource,Step Up Authentication,Trigger a 3DS step-up challenge when a prior frictionless flow is deemed insufficient by the issuer,POST /payments (internal 3DS2 step-up redirect),not_covered,no,,Preetam,
celero,Surcharge,Add a connector-forwarded surcharge fee on top of the payment amount,POST /payments (surcharge_details in body),not_covered,no,,Vasanth,
digitalvirgo,Surcharge,Add a connector-forwarded surcharge fee on top of the payment amount,POST /payments (surcharge_details in body),no_cypress_config,no,,Vasanth,
