connector,feature,description,hs_endpoint,cypress_test_status
stripe,Incremental Authorization,"Increase the authorized amount after initial authorization without re-authenticating the cardholder",POST /payments/{id}/incremental_authorization,covered
wellsfargo,Incremental Authorization,"Increase the authorized amount after initial authorization without re-authenticating the cardholder",POST /payments/{id}/incremental_authorization,not_covered
adyen,Installments,"Split the payment into fixed monthly installments at the connector level",POST /payments (installment_data in body),covered
checkout,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),covered
nuvei,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),covered
worldpayvantiv,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),covered
adyen,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
archipel,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
authorizedotnet,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),not_covered
bankofamerica,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),not_covered
barclaycard,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
bluesnap,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
checkout,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
cybersource,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
fiuu,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),not_covered
novalnet,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),not_covered
nuvei,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
stripe,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
unified_authentication_service,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),no_cypress_config
wellsfargo,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),not_covered
worldpay,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
worldpayvantiv,Network Transaction ID,"Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments",POST /payments (network_transaction_id in response),covered
adyen,Overcapture,"Capture more than the originally authorized amount (overcapture / over-capture)",POST /payments/{id}/capture (amount > authorized),covered
checkout,Partial Authorization,"Allow connector to partially approve a payment when the full amount is unavailable (partial approval)",POST /payments (enable_partial_authorization=true),covered
nuvei,Partial Authorization,"Allow connector to partially approve a payment when the full amount is unavailable (partial approval)",POST /payments (enable_partial_authorization=true),covered
worldpayvantiv,Partial Authorization,"Allow connector to partially approve a payment when the full amount is unavailable (partial approval)",POST /payments (enable_partial_authorization=true),covered
adyen,Partner Merchant Identifier,"Identify the platform/marketplace and sub-merchant in the connector request (e.g. Adyen ApplicationInfo)",POST /payments (partner_merchant_identifier_details in body),covered
checkout,Partner Merchant Identifier,"Identify the platform/marketplace and sub-merchant in the connector request (e.g. Adyen ApplicationInfo)",POST /payments (partner_merchant_identifier_details in body),covered
barclaycard,Post-Authentication Flow,"Complete authorization after 3DS challenge result is received and verified",POST /payments/{id}/complete_authorize,not_covered
cybersource,Post-Authentication Flow,"Complete authorization after 3DS challenge result is received and verified",POST /payments/{id}/complete_authorize,not_covered
nexixpay,Post-Authentication Flow,"Complete authorization after 3DS challenge result is received and verified",POST /payments/{id}/complete_authorize,not_covered
paypal,Post-Authentication Flow,"Complete authorization after 3DS challenge result is received and verified",POST /payments/{id}/complete_authorize,not_covered
barclaycard,Pre-Authentication Flow,"3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge",POST /payments (internal 3DS enrollment check),not_covered
cybersource,Pre-Authentication Flow,"3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge",POST /payments (internal 3DS enrollment check),not_covered
nexixpay,Pre-Authentication Flow,"3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge",POST /payments (internal 3DS enrollment check),not_covered
nmi,Pre-Authentication Flow,"3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge",POST /payments (internal 3DS enrollment check),not_covered
nuvei,Pre-Authentication Flow,"3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge",POST /payments (internal 3DS enrollment check),not_covered
redsys,Pre-Authentication Flow,"3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge",POST /payments (internal 3DS enrollment check),not_covered
shift4,Pre-Authentication Flow,"3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge",POST /payments (internal 3DS enrollment check),not_covered
worldpayxml,Pre-Authentication Flow,"3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge",POST /payments (internal 3DS enrollment check),not_covered
aci,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
adyen,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
affirm,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
airwallex,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
archipel,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
authipay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
authorizedotnet,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
bambora,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
bamboraapac,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
bankofamerica,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
barclaycard,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
billwerk,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
bluesnap,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
braintree,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
checkout,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
cybersource,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
datatrans,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
deutschebank,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
dlocal,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
dwolla,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
elavon,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
facilitapay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,not_covered
finix,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
fiserv,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
fiservcommercehub,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
fiservemea,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
fiuu,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
forte,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
globalpay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
globepay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
gocardless,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
helcim,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
hipay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
hyperpg,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
iatapay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
inespay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
jpmorgan,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
mollie,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
moneris,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
multisafepay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
nexinets,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
nexixpay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
nmi,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
noon,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
novalnet,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
nuvei,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
paybox,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
payjustnow,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
payjustnowinstore,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
payload,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
payme,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
paypal,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
paysafe,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
paystack,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
payu,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
peachpayments,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
placetopay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
rapyd,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
redsys,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
shift4,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
stax,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
stripe,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
tesouro,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
trustpay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
tsys,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
volt,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,not_covered
wellsfargo,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
worldline,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
worldpay,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
worldpaymodular,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,no_cypress_config
worldpayvantiv,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
worldpayxml,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
xendit,Refund,"Connector supports refund of a completed payment (at least one PM/PMT combination)",POST /refunds,covered
xendit,Settlement Split Call,"Split settlement amounts across sub-merchants or accounts after authorization",POST /payments (internal post-auth settlement split),not_covered
adyen,Split Payments,"Split a single payment across multiple accounts or sub-merchant recipients",POST /payments (split_payments in body),not_covered
stripe,Split Payments,"Split a single payment across multiple accounts or sub-merchant recipients",POST /payments (split_payments in body),covered
xendit,Split Payments,"Split a single payment across multiple accounts or sub-merchant recipients",POST /payments (split_payments in body),not_covered
stripe,Split Refunds,"Refund a split payment proportionally across the original split recipients",POST /refunds (split_refunds in body),covered
xendit,Split Refunds,"Refund a split payment proportionally across the original split recipients",POST /refunds (split_refunds in body),not_covered
barclaycard,Step Up Authentication,"Trigger a 3DS step-up challenge when a prior frictionless flow is deemed insufficient by the issuer",POST /payments (internal 3DS2 step-up redirect),not_covered
cybersource,Step Up Authentication,"Trigger a 3DS step-up challenge when a prior frictionless flow is deemed insufficient by the issuer",POST /payments (internal 3DS2 step-up redirect),covered
adyen,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
airwallex,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
authorizedotnet,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
bankofamerica,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
checkout,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
cybersource,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
datatrans,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
fiuu,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
globalpay,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
nexinets,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
nmi,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
nuvei,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
paypal,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
shift4,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
stripe,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
trustpay,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
worldpay,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
worldpayvantiv,Step Up Retry,"Payment that fails without 3DS is automatically retried with a 3DS step-up challenge",POST /payments (GSM step_up_possible flow),covered
